"","Tattoo","Eimeria","Isospora","Fleas","Lice","Ticks","Sex","fYear","Year","Month","Age","AgeCat","X","Y","Degree","Strength","GroupSize","LifetimeDensity","TrappingDensity","AnnualDensity","Survived","BCI"
"1",1421,NA,NA,0,0,0,"Female","1989",1989,"05",1,"Y",21,77,17,17,20,2.67548073681436e-05,4.4658353416575e-05,4.33230484355856e-05,1,NA
"2",46,NA,NA,0,0,0,"Male","1989",1989,"05",1,"Y",107,199,9,11,9,3.43252525557025e-05,5.35954643723891e-05,2.44414590617254e-05,1,NA
"3",515,NA,NA,2,1,0,"Male","1989",1989,"05",0,"C",21,77,17,17,20,2.67548073681436e-05,4.4658353416575e-05,4.33230484355856e-05,1,NA
"4",996,NA,NA,0,0,0,"Female","1989",1989,"05",3,"A",107,199,8,8,9,3.43252525557025e-05,5.35954643723891e-05,2.44414590617254e-05,1,NA
"5",58,NA,NA,2,1,0,"Male","1989",1989,"05",1,"Y",104,192,3,3,6,3.50987541024159e-05,5.17886421045977e-05,2.50675926325788e-05,0,NA
"6",322,NA,NA,0,0,0,"Male","1989",1989,"05",1,"Y",21,77,17,17,20,2.67548073681436e-05,4.4658353416575e-05,4.33230484355856e-05,1,NA
"7",526,NA,NA,1,2,1,"Female","1989",1989,"05",0,"C",21,77,17,17,20,2.67548073681436e-05,4.4658353416575e-05,4.33230484355856e-05,1,NA
"8",158,NA,NA,1,1,0,"Female","1989",1989,"05",1,"Y",47,135,8,8,12,3.97476914904642e-05,6.34467079537609e-05,3.43213565080239e-05,1,NA
"9",280,NA,NA,0,0,0,"Male","1989",1989,"05",1,"Y",34,121,3,3,12,3.41249111859862e-05,5.15906714533065e-05,3.30493881731055e-05,1,NA
"10",903,NA,NA,1,1,0,"Male","1989",1989,"05",10,"A",47,135,8,8,12,3.97476914904642e-05,6.34467079537609e-05,3.43213565080239e-05,1,NA
"11",1121,NA,NA,0,0,0,"Male","1989",1989,"05",5,"A",34,121,21,23,12,3.41249111859862e-05,5.15906714533065e-05,3.30493881731055e-05,0,NA
"12",1121,NA,NA,0,0,0,"Male","1989",1989,"05",5,"A",47,135,21,23,12,3.97476914904642e-05,6.34467079537609e-05,3.43213565080239e-05,0,NA
"13",1228,NA,NA,0,0,0,"Female","1989",1989,"05",10,"A",131,85,18,26,19,1.7987562472653e-05,2.60259449841466e-05,1.93846458321846e-05,1,NA
"14",1421,NA,NA,0,0,0,"Female","1989",1989,"05",1,"Y",21,77,17,17,20,2.67548073681436e-05,4.4658353416575e-05,4.33230484355856e-05,1,NA
"15",46,NA,NA,0,0,0,"Male","1989",1989,"05",1,"Y",107,199,9,11,9,3.43252525557025e-05,5.35954643723891e-05,2.44414590617254e-05,1,NA
"16",235,NA,NA,0,0,0,"Male","1989",1989,"05",1,"Y",21,77,17,17,20,2.67548073681436e-05,4.4658353416575e-05,4.33230484355856e-05,0,NA
"17",515,NA,NA,0,0,0,"Male","1989",1989,"05",0,"C",21,77,17,17,20,2.67548073681436e-05,4.4658353416575e-05,4.33230484355856e-05,1,NA
"18",535,NA,NA,1,3,1,"Female","1989",1989,"05",0,"C",21,77,17,17,20,2.67548073681436e-05,4.4658353416575e-05,4.33230484355856e-05,1,NA
"19",184,NA,NA,0,0,0,"Female","1989",1989,"05",5,"A",104,192,9,11,6,3.50987541024159e-05,5.17886421045977e-05,2.50675926325788e-05,1,NA
"20",430,NA,NA,0,0,0,"Male","1989",1989,"05",2,"A",107,199,8,8,9,3.43252525557025e-05,5.35954643723891e-05,2.44414590617254e-05,1,NA
"21",1018,NA,NA,3,2,1,"Female","1989",1989,"05",8,"A",107,199,8,8,9,3.43252525557025e-05,5.35954643723891e-05,2.44414590617254e-05,0,NA
"22",46,NA,NA,0,0,0,"Male","1989",1989,"05",1,"Y",104,192,9,11,6,3.50987541024159e-05,5.17886421045977e-05,2.50675926325788e-05,1,NA
"23",69,NA,NA,0,0,0,"Male","1989",1989,"05",1,"Y",104,192,9,11,6,3.50987541024159e-05,5.17886421045977e-05,2.50675926325788e-05,1,NA
"24",77,NA,NA,0,0,0,"Female","1989",1989,"05",1,"Y",107,199,8,8,9,3.43252525557025e-05,5.35954643723891e-05,2.44414590617254e-05,1,NA
"25",526,NA,NA,0,0,0,"Female","1989",1989,"05",0,"C",21,77,17,17,20,2.67548073681436e-05,4.4658353416575e-05,4.33230484355856e-05,1,NA
"26",544,NA,NA,1,1,0,"Male","1989",1989,"05",0,"C",21,77,17,17,20,2.67548073681436e-05,4.4658353416575e-05,4.33230484355856e-05,1,NA
"27",550,NA,NA,1,1,0,"Female","1989",1989,"05",0,"C",21,77,17,17,20,2.67548073681436e-05,4.4658353416575e-05,4.33230484355856e-05,1,NA
"28",556,NA,NA,2,2,1,"Female","1989",1989,"05",0,"C",21,77,17,17,20,2.67548073681436e-05,4.4658353416575e-05,4.33230484355856e-05,0,NA
"29",1157,NA,NA,0,0,0,"Female","1989",1989,"05",3,"A",131,85,21,25,19,1.7987562472653e-05,2.60259449841466e-05,1.93846458321846e-05,1,NA
"30",1247,NA,NA,2,1,0,"Female","1989",1989,"05",2,"A",131,85,6,6,19,1.7987562472653e-05,2.60259449841466e-05,1.93846458321846e-05,1,NA
"31",1131,NA,NA,0,0,0,"Female","1989",1989,"05",2,"A",47,135,8,10,12,3.97476914904642e-05,6.34467079537609e-05,3.43213565080239e-05,1,NA
"32",1399,NA,NA,0,0,0,"Female","1989",1989,"05",1,"Y",21,77,17,17,20,2.67548073681436e-05,4.4658353416575e-05,4.33230484355856e-05,0,NA
"33",46,NA,NA,0,0,0,"Male","1989",1989,"05",1,"Y",107,199,9,11,9,3.43252525557025e-05,5.35954643723891e-05,2.44414590617254e-05,1,NA
"34",69,NA,NA,0,0,0,"Male","1989",1989,"05",1,"Y",107,199,9,11,9,3.43252525557025e-05,5.35954643723891e-05,2.44414590617254e-05,1,NA
"35",77,NA,NA,0,0,0,"Female","1989",1989,"05",1,"Y",107,199,8,8,9,3.43252525557025e-05,5.35954643723891e-05,2.44414590617254e-05,1,NA
"36",88,NA,NA,2,2,1,"Female","1989",1989,"05",1,"Y",107,199,8,8,9,3.43252525557025e-05,5.35954643723891e-05,2.44414590617254e-05,1,NA
"37",247,NA,NA,2,1,0,"Male","1989",1989,"05",1,"Y",21,77,17,17,20,2.67548073681436e-05,4.4658353416575e-05,4.33230484355856e-05,0,NA
"38",515,NA,NA,0,0,0,"Male","1989",1989,"05",0,"C",21,77,17,17,20,2.67548073681436e-05,4.4658353416575e-05,4.33230484355856e-05,1,NA
"39",556,NA,NA,0,0,0,"Female","1989",1989,"05",0,"C",21,77,17,17,20,2.67548073681436e-05,4.4658353416575e-05,4.33230484355856e-05,0,NA
"40",563,NA,NA,2,2,0,"Female","1989",1989,"05",0,"C",21,77,17,17,20,2.67548073681436e-05,4.4658353416575e-05,4.33230484355856e-05,1,NA
"41",480,NA,NA,0,0,0,"Male","1989",1989,"05",6,"A",47,135,8,8,12,3.97476914904642e-05,6.34467079537609e-05,3.43213565080239e-05,0,NA
"42",985,NA,NA,0,0,0,"Female","1989",1989,"05",8,"A",107,199,8,8,9,3.43252525557025e-05,5.35954643723891e-05,2.44414590617254e-05,1,NA
"43",1121,NA,NA,0,0,0,"Male","1989",1989,"05",5,"A",34,121,21,23,12,3.41249111859862e-05,5.15906714533065e-05,3.30493881731055e-05,0,NA
"44",1158,NA,NA,1,1,0,"Female","1989",1989,"05",5,"A",21,77,17,17,20,2.67548073681436e-05,4.4658353416575e-05,4.33230484355856e-05,1,NA
"45",1247,NA,NA,0,0,0,"Female","1989",1989,"05",2,"A",131,85,6,6,19,1.7987562472653e-05,2.60259449841466e-05,1.93846458321846e-05,1,NA
"46",526,NA,NA,0,0,0,"Female","1989",1989,"05",0,"C",21,77,17,17,20,2.67548073681436e-05,4.4658353416575e-05,4.33230484355856e-05,1,NA
"47",544,NA,NA,0,0,0,"Male","1989",1989,"05",0,"C",21,77,17,17,20,2.67548073681436e-05,4.4658353416575e-05,4.33230484355856e-05,1,NA
"48",573,NA,NA,1,1,0,"Male","1989",1989,"05",0,"C",21,77,17,17,20,2.67548073681436e-05,4.4658353416575e-05,4.33230484355856e-05,1,NA
"49",584,NA,NA,2,1,0,"Female","1989",1989,"05",0,"C",21,77,17,17,20,2.67548073681436e-05,4.4658353416575e-05,4.33230484355856e-05,1,NA
"50",590,NA,NA,1,1,1,"Female","1989",1989,"05",0,"C",21,77,17,17,20,2.67548073681436e-05,4.4658353416575e-05,4.33230484355856e-05,0,NA
"51",1410,NA,NA,0,0,0,"Female","1989",1989,"05",1,"Y",21,77,17,17,20,2.67548073681436e-05,4.4658353416575e-05,4.33230484355856e-05,1,NA
"52",515,NA,NA,0,0,0,"Male","1989",1989,"05",0,"C",21,77,17,17,20,2.67548073681436e-05,4.4658353416575e-05,4.33230484355856e-05,1,NA
"53",535,NA,NA,0,0,0,"Female","1989",1989,"05",0,"C",21,77,17,17,20,2.67548073681436e-05,4.4658353416575e-05,4.33230484355856e-05,1,NA
"54",563,NA,NA,0,0,0,"Female","1989",1989,"05",0,"C",21,77,17,17,20,2.67548073681436e-05,4.4658353416575e-05,4.33230484355856e-05,1,NA
"55",1421,NA,NA,0,0,0,"Female","1989",1989,"05",1,"Y",21,77,17,17,20,2.67548073681436e-05,4.4658353416575e-05,4.33230484355856e-05,1,NA
"56",235,NA,NA,0,0,0,"Male","1989",1989,"05",1,"Y",21,77,17,17,20,2.67548073681436e-05,4.4658353416575e-05,4.33230484355856e-05,0,NA
"57",515,NA,NA,0,0,0,"Male","1989",1989,"05",0,"C",21,77,17,17,20,2.67548073681436e-05,4.4658353416575e-05,4.33230484355856e-05,1,NA
"58",526,NA,NA,0,0,0,"Female","1989",1989,"05",0,"C",21,77,17,17,20,2.67548073681436e-05,4.4658353416575e-05,4.33230484355856e-05,1,NA
"59",535,NA,NA,0,0,0,"Female","1989",1989,"05",0,"C",21,77,17,17,20,2.67548073681436e-05,4.4658353416575e-05,4.33230484355856e-05,1,NA
"60",544,NA,NA,0,0,0,"Male","1989",1989,"05",0,"C",21,77,17,17,20,2.67548073681436e-05,4.4658353416575e-05,4.33230484355856e-05,1,NA
"61",550,NA,NA,0,0,0,"Female","1989",1989,"05",0,"C",21,77,17,17,20,2.67548073681436e-05,4.4658353416575e-05,4.33230484355856e-05,1,NA
"62",573,NA,NA,0,0,0,"Male","1989",1989,"05",0,"C",21,77,17,17,20,2.67548073681436e-05,4.4658353416575e-05,4.33230484355856e-05,1,NA
"63",1483,NA,NA,1,2,1,"Male","1989",1989,"05",1,"Y",189,45,20,22,8,4.47964172011959e-05,9.19135631406246e-05,1.41679891075719e-05,1,NA
"64",1287,NA,NA,1,2,0,"Male","1989",1989,"05",10,"A",174,44,18,24,8,4.88481423321562e-05,0.000126372047344651,1.61656297549772e-05,0,NA
"65",1307,NA,NA,1,2,0,"Male","1989",1989,"05",10,"A",189,45,21,30,8,4.47964172011959e-05,9.19135631406246e-05,1.41679891075719e-05,1,NA
"66",1500,NA,NA,2,1,1,"Male","1989",1989,"05",2,"A",189,45,7,11,8,4.47964172011959e-05,9.19135631406246e-05,1.41679891075719e-05,1,NA
"67",1550,NA,NA,1,1,0,"Female","1989",1989,"05",2,"A",189,45,7,11,8,4.47964172011959e-05,9.19135631406246e-05,1.41679891075719e-05,1,NA
"68",1483,NA,NA,0,0,0,"Male","1989",1989,"05",1,"Y",189,45,20,22,8,4.47964172011959e-05,9.19135631406246e-05,1.41679891075719e-05,1,NA
"69",402,NA,NA,1,2,0,"Female","1989",1989,"05",7,"A",131,85,18,19,19,1.7987562472653e-05,2.60259449841466e-05,1.93846458321846e-05,1,NA
"70",1307,NA,NA,0,0,0,"Male","1989",1989,"05",10,"A",131,85,21,30,19,1.7987562472653e-05,2.60259449841466e-05,1.93846458321846e-05,1,NA
"71",1374,NA,NA,2,1,0,"Male","1989",1989,"05",10,"A",189,45,11,17,8,4.47964172011959e-05,9.19135631406246e-05,1.41679891075719e-05,1,NA
"72",1500,NA,NA,0,0,0,"Male","1989",1989,"05",2,"A",189,45,7,11,8,4.47964172011959e-05,9.19135631406246e-05,1.41679891075719e-05,1,NA
"73",344,NA,NA,1,1,0,"Female","1989",1989,"05",1,"Y",108,10,13,13,19,1.89842668313835e-05,4.26615370043863e-05,2.30756731751841e-05,1,NA
